"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","434","Нельзя авторизоваться, если не указать пароль","tests","2026-06-17","passed","2026-06-17","TestLoginCourier","test_courier_login","",""
"","1375","Попытка принять заказ с несуществующим ID курьера","tests","2026-06-17","passed","2026-06-17","TestAcceptOrder","test_orders_accept","",""
"","417","Успешное создание заказа с разными цветами","tests","2026-06-17","passed","2026-06-17","TestCreateOrder","test_orders_create","",""
"","451","Успешное создание заказа с разными цветами","tests","2026-06-17","passed","2026-06-17","TestCreateOrder","test_orders_create","",""
"","1331","Успешное принятие заказа","tests","2026-06-17","passed","2026-06-17","TestAcceptOrder","test_orders_accept","",""
"","433","Попытка удаления курьера без указания ID","tests","2026-06-17","passed","2026-06-17","TestCourierDelete","test_courier_delete","",""
"","463","Нельзя создать курьера, если не указать поле с паролем","tests","2026-06-17","passed","2026-06-17","TestCreateCourier","test_courier_create","",""
"","447","Нельзя авторизоваться, если неправильно указан логин","tests","2026-06-17","passed","2026-06-17","TestLoginCourier","test_courier_login","",""
"","467","Успешная авторизация курьера","tests","2026-06-17","passed","2026-06-17","TestLoginCourier","test_courier_login","",""
"","455","Нельзя авторизоваться, если неправильно указан пароль","tests","2026-06-17","passed","2026-06-17","TestLoginCourier","test_courier_login","",""
"","442","Попытка удаления курьера с несуществующим ID","tests","2026-06-17","passed","2026-06-17","TestCourierDelete","test_courier_delete","",""
"","456","Успешное создание заказа с разными цветами","tests","2026-06-17","passed","2026-06-17","TestCreateOrder","test_orders_create","",""
"","421","Нельзя создать курьера, если не указать поле с логином","tests","2026-06-17","passed","2026-06-17","TestCreateCourier","test_courier_create","",""
"","1387","Успешное удаление курьера","tests","2026-06-17","passed","2026-06-17","TestCourierDelete","test_courier_delete","",""
"","453","Нельзя создать двух одинаковых курьеров","tests","2026-06-17","passed","2026-06-17","TestCreateCourier","test_courier_create","",""
"","452","Успешное создание заказа с разными цветами","tests","2026-06-17","passed","2026-06-17","TestCreateOrder","test_orders_create","",""
"","1324","Нельзя принять заказ, если не указать id курьера","tests","2026-06-17","passed","2026-06-17","TestAcceptOrder","test_orders_accept","",""
"","11822","В тело ответа возвращается список заказов","tests","2026-06-17","passed","2026-06-17","TestOrderList","test_orders_list","",""
"","503","Успешное создание курьера со всеми обязательными полями","tests","2026-06-17","passed","2026-06-17","TestCreateCourier","test_courier_create","",""
"","417","Нельзя авторизоваться, если не указать логин","tests","2026-06-17","passed","2026-06-17","TestLoginCourier","test_courier_login","",""
